date,ville,transaction_id,categorie,produit,prix_unitaire,quantite,remise_pct,moyen_paiement,is_dimanche
2024-06-12,Marrakech,T000001,Vetements,Sweat,761.72,2,15.0,Especes,False
2024-06-24,Marrakech,T000003,Alimentation,Pates,99.02,1,0.0,Carte,False
2024-02-26,Marrakech,T000004,Maison,Coussin,835.89,1,10.0,Carte,False
2024-04-16,Fes,T000006,Beaute,Parfum,571.02,2,5.0,En ligne,False
2024-06-18,Casablanca,T000007,Vetements,Jean,340.95,2,0.0,Carte,False
2024-05-15,Fes,T000008,Maison,Chaise,1377.93,1,15.0,Especes,False
2024-03-16,Marrakech,T000011,Electronique,Tablette,1784.76,2,5.0,Especes,False
2024-07-23,Fes,T000012,Maison,Chaise,1165.76,4,0.0,Carte,False
2024-02-14,Rabat,T000013,Alimentation,Huile,136.92,1,5.0,En ligne,False
2024-02-27,Tanger,T000014,Alimentation,Riz,81.37,2,0.0,En ligne,False
2024-08-15,Casablanca,T000015,Vetements,Robe,443.65,4,0.0,En ligne,False
2024-09-05,Rabat,T000016,Electronique,Smartphone,1015.04,1,0.0,En ligne,False
2024-07-30,Casablanca,T000018,Vetements,Jean,685.25,1,0.0,En ligne,False
2024-09-05,Rabat,T000019,Sports,Tapis Yoga,526.48,1,0.0,En ligne,False
2024-01-29,Rabat,T000021,Maison,Tapis,193.23,1,0.0,En ligne,False
2024-08-03,Casablanca,T000022,Alimentation,Huile,78.71,2,0.0,Carte,False
2024-05-21,Tanger,T000024,Sports,Chaussures Running,1472.57,1,5.0,Carte,False
2024-10-21,Tanger,T000025,Beaute,Parfum,506.32,1,0.0,En ligne,False
2024-09-10,Rabat,T000026,Electronique,Smartphone,1289.34,3,5.0,Especes,False
2024-06-14,Agadir,T000028,Maison,Table,612.33,1,,En ligne,False
2024-04-15,Fes,T000029,Beaute,Shampooing,541.21,1,5.0,Especes,False
2024-12-21,Tanger,T000031,Alimentation,Cafe,32.99,1,0.0,Especes,False
2024-04-06,Fes,T000032,Sports,Raquette,134.37,2,,En ligne,False
2024-04-05,Fes,T000033,Electronique,Tablette,2552.94,2,0.0,En ligne,False
2024-11-26,Fes,T000034,Maison,Tapis,150.84,3,10.0,En ligne,False
2024-04-08,Fes,T000035,Beaute,Maquillage,134.79,1,5.0,En ligne,False
2024-04-13,Tanger,T000036,Maison,Tapis,761.63,2,0.0,carte,False
2024-01-11,Tanger,T000037,Maison,Miroir,925.38,2,5.0,En ligne,False
2024-03-06,Tanger,T000038,Electronique,Ecouteurs,380.79,3,0.0,En ligne,False
2024-04-22,Tanger,T000039,Electronique,Ecouteurs,3133.02,1,15.0,Especes,False
2024-04-18,Agadir,T000040,Alimentation,Huile,31.77,2,0.0,Carte,False
2024-08-13,Fes,T000041,Vetements,T-shirt,820.24,2,,Carte,False
2024-06-25,Marrakech,T000042,Electronique,Clavier,2850.74,2,5.0,Carte,False
2024-02-02,Tanger,T000043,Alimentation,Cafe,74.8,1,,Especes,False
2024-07-06,Rabat,T000044,Electronique,Clavier,881.97,1,10.0,Carte,False
2024-07-20,Fes,T000045,Electronique,Ecouteurs,1783.99,2,15.0,Carte,False
2024-01-03,Tanger,T000046,Maison,Lampe,597.44,1,0.0,En ligne,False
2024-07-26,Marrakech,T000047,Maison,Coussin,1014.83,1,0.0,En ligne,False
2024-07-15,Tanger,T000048,Vetements,Veste,759.88,1,5.0,En ligne,False
2024-01-02,Rabat,T000049,Electronique,Souris,3223.85,1,0.0,Especes,False
2024-10-25,Casablanca,T000050,Sports,Halteres,1461.96,2,5.0,Especes,False
2024-01-02,Marrakech,T000052,Electronique,Souris,3470.85,1,0.0,Especes,False
2024-06-21,Rabat,T000055,Alimentation,Pates,212.9,2,10.0,Especes,False
2024-10-31,Rabat,T000056,Maison,Chaise,569.87,1,0.0,CB,False
2024-01-09,Casablanca,T000057,Alimentation,Pates,72.54,1,10.0,Carte,False
2024-08-31,Fes,T000058,Sports,Halteres,916.65,1,0.0,En ligne,False
2024-05-30,Casablanca,T000059,Maison,Lampe,1264.96,4,10.0,Carte,False
2024-02-28,Casablanca,T000060,Maison,Tapis,888.49,1,0.0,En ligne,False
2024-01-13,Agadir,T000061,Alimentation,Cereales,189.85,2,0.0,Especes,False
2024-05-10,Casablanca,T000062,Sports,Velo appartement,1158.67,1,10.0,En ligne,False
2024-02-26,Rabat,T000063,Sports,Tapis Yoga,463.12,2,0.0,En ligne,False
2024-11-13,Marrakech,T000065,Sports,Tapis Yoga,1569.69,2,0.0,Especes,False
2024-06-20,Casablanca,T000066,Alimentation,Cereales,96.07,1,0.0,Especes,False
2024-07-16,Agadir,T000067,Vetements,Sweat,691.7,4,0.0,Especes,False
2024-10-22,Agadir,T000068,Alimentation,Huile,88.26,3,5.0,Carte,False
2024-04-03,Tanger,T000069,Vetements,T-shirt,431.7,1,5.0,En ligne,False
2024-10-02,Tanger,T000070,Alimentation,Pates,90.28,1,15.0,En-ligne,False
2024-11-07,Tanger,T000071,Vetements,Veste,402.12,1,0.0,Carte,False
2024-09-18,Fes,T000072,Maison,Coussin,370.1,1,,En ligne,False
2024-02-26,Rabat,T000073,Sports,Ballon,534.71,2,10.0,En ligne,False
2024-05-09,Tanger,T000074,Sports,Chaussures Running,291.81,2,10.0,Carte,False
2024-09-19,Tanger,T000075,Alimentation,Cafe,129.38,1,0.0,En-ligne,False
2024-12-25,Fes,T000076,Alimentation,Riz,58.78,1,10.0,En ligne,False
2024-12-17,Casablanca,T000077,Alimentation,Pates,69.57,1,10.0,En ligne,False
2024-04-17,Casablanca,T000079,Electronique,Clavier,2098.86,1,0.0,Especes,False
2024-07-03,Tanger,T000080,Beaute,Creme,470.07,1,0.0,Carte,False
2024-11-19,Marrakech,T000081,Maison,Lampe,1224.72,3,0.0,Especes,False
2024-11-02,Marrakech,T000083,Maison,Tapis,849.2,1,10.0,Especes,False
2024-07-31,Casablanca,T000084,Alimentation,Huile,196.49,1,5.0,En ligne,False
