date,ville,transaction_id,categorie,produit,prix_unitaire,quantite,remise_pct,moyen_paiement,is_dimanche
2024-12-29,Fes,T000002,Alimentation,The,151.93,1,0.0,Especes,True
2024-04-21,Marrakech,T000005,Beaute,Shampooing,666.02,3,10.0,Especes,True
2024-03-31,Fes,T000009,Vetements,Chaussures,670.52,2,15.0,En-ligne,True
2024-04-28,Agadir,T000010,Sports,Halteres,767.98,1,0.0,En ligne,True
2024-06-30,Fes,T000017,Maison,Lampe,937.22,2,5.0,Carte,True
2024-07-07,Casablanca,T000020,Alimentation,The,87.49,2,5.0,En ligne,True
2024-03-03,Fes,T000023,Vetements,T-shirt,117.72,2,15.0,Especes,True
2024-04-14,Fes,T000027,Maison,Miroir,1087.57,1,0.0,En ligne,True
2024-07-14,Tanger,T000030,Alimentation,Riz,66.55,1,0.0,En ligne,True
2024-12-15,Rabat,T000051,Alimentation,Cereales,48.95,3,0.0,Especes,True
2024-10-27,Tanger,T000053,Maison,Miroir,641.84,1,0.0,En ligne,True
2024-04-07,Rabat,T000054,Beaute,Creme,305.11,3,10.0,Carte,True
2024-08-25,Rabat,T000064,Sports,Halteres,555.2,2,0.0,En ligne,True
2024-05-12,Agadir,T000078,Vetements,Sweat,272.91,2,10.0,Carte,True
2024-02-11,Casablanca,T000082,Vetements,Sweat,147.68,1,0.0,Especes,True
2024-10-27,Casablanca,T000085,Alimentation,Cereales,186.92,2,0.0,En ligne,True
2024-07-07,Casablanca,T000090,Alimentation,Cafe,118.55,1,0.0,Carte,True
2024-04-28,Tanger,T000098,Beaute,Maquillage,589.89,1,0.0,Carte,True
2024-04-07,Fes,T000099,Beaute,Creme,648.42,2,10.0,Especes,True
2024-04-28,Agadir,T000103,Sports,Velo appartement,1568.52,2,10.0,En ligne,True
2024-06-30,Marrakech,T000108,Maison,Table,735.91,1,15.0,Carte,True
2024-09-01,Rabat,T000123,Alimentation,Cereales,44.59,1,0.0,En ligne,True
2024-11-24,Rabat,T000124,Vetements,Veste,260.96,1,0.0,En ligne,True
2024-10-27,Fes,T000129,Alimentation,Cafe,149.17,2,10.0,Especes,True
2024-04-21,Agadir,T000138,Electronique,Ecouteurs,2453.99,1,0.0,Especes,True
2024-03-10,Casablanca,T000144,Alimentation,Huile,102.76,1,0.0,Carte,True
2024-08-04,Rabat,T000151,Maison,Coussin,817.09,2,15.0,En ligne,True
2024-10-27,Marrakech,T000161,Electronique,Clavier,1094.6,2,10.0,CB,True
2024-09-15,Fes,T000162,Maison,Tapis,168.44,1,0.0,Especes,True
2024-12-08,Casablanca,T000169,Electronique,Clavier,2379.29,1,15.0,En ligne,True
2024-06-23,Agadir,T000171,Sports,Ballon,1794.37,3,0.0,Especes,True
2024-09-22,Rabat,T000184,Beaute,Parfum,243.03,2,0.0,Carte,True
