date,ville,magasin,transaction_id,client_id,sexe,age_client,categorie,produit,prix_unitaire,quantite,remise_pct,moyen_paiement
2024-06-12,Marrakech,D,T000001,C1177,F,42,Vetements,Sweat,761.72,2,15,Especes
2024-12-29,Fes,B,T000002,C1067,M,41,Alimentation,The,151.93,1,0,Especes
2024-06-24,Marrakech,A,T000003,C1216,M,27,Alimentation,Pates,99.02,1,0,Carte
2024-02-26,Marrakech,E,T000004,C1028,F,52,Maison,Coussin,835.89,1,10,Carte
2024-04-21,Marrakech,B,T000005,C1654,M,35,Beaute,Shampooing,666.02,3,10,Especes
2024-04-16,Fes,A,T000006,C1609,F,37,Beaute,Parfum,571.02,2,5,En ligne
2024-06-18,Casablanca,A,T000007,C1249,F,40,Vetements,Jean,340.95,2,0,Carte
2024-05-15,Fes,C,T000008,C1088,M,,Maison,Chaise,1377.93,1,15,Especes
2024-03-31,Fes,B,T000009,C1331,M,22,Vetements,Chaussures,670.52,2,15,En-ligne
2024-04-28,Agadir,A,T000010,C1576,M,50,Sports,Halteres,767.98,1,0,En ligne
2024-03-16,Marrakech,C,T000011,C1626,F,28,Electronique,Tablette,1784.76,2,5,Especes
2024-07-23,Fes,E,T000012,C1614,M,46,Maison,Chaise,1165.76,4,0,Carte
2024-02-14,Rabat,C,T000013,C1369,F,17,Alimentation,Huile,136.92,1,5,En ligne
2024-02-27,Tanger,C,T000014,C1558,M,46,Alimentation,Riz,81.37,2,0,En ligne
2024-08-15,Casablanca,A,T000015,C1359,F,31,Vetements,Robe,443.65,4,0,En ligne
2024-09-05,Rabat,E,T000016,C1252,M,34,Electronique,Smartphone,1015.04,1,0,En ligne
2024-06-30,Fes,E,T000017,C1417,F,36,Maison,Lampe,937.22,2,5,Carte
2024-07-30,Casablanca,B,T000018,C1146,M,44,Vetements,Jean,685.25,1,0,En ligne
2024-09-05,Rabat,E,T000019,C1011,F,52,Sports,Tapis Yoga,526.48,1,0,En ligne
2024-07-07,Casablanca,B,T000020,C1176,F,49,Alimentation,The,87.49,2,5,En ligne
2024-01-29,Rabat,B,T000021,C1643,M,35,Maison,Tapis,193.23,1,0,En ligne
2024-08-03,Casablanca,D,T000022,C1234,M,41,Alimentation,Huile,78.71,2,0,Carte
2024-03-03,Fes,B,T000023,C1246,M,46,Vetements,T-shirt,117.72,2,15,Especes
2024-05-21,Tanger,E,T000024,C1570,F,41,Sports,Chaussures Running,1472.57,1,5,Carte
2024-10-21,Tanger,E,T000025,C1365,M,38,Beaute,Parfum,506.32,1,0,En ligne
2024-09-10,Rabat,C,T000026,C1068,F,20,Electronique,Smartphone,1289.34,3,5,Especes
2024-04-14,Fes,D,T000027,C1631,M,,Maison,Miroir,1087.57,1,0,En ligne
2024-06-14,Agadir,C,T000028,C1338,F,30,Maison,Table,612.33,1,,En ligne
2024-04-15,Fes,B,T000029,C1263,F,49,Beaute,Shampooing,541.21,1,5,Especes
2024-07-14,Tanger,B,T000030,C1507,F,52,Alimentation,Riz,66.55,1,0,En ligne
2024-12-21,Tanger,A,T000031,C1104,F,37,Alimentation,Cafe,32.99,1,0,Especes
2024-04-06,Fes,A,T000032,C1007,,,Sports,Raquette,134.37,2,,En ligne
2024-04-05,Fes,C,T000033,C1304,F,29,Electronique,Tablette,2552.94,2,0,En ligne
2024-11-26,Fes,C,T000034,C1197,F,22,Maison,Tapis,150.84,3,10,En ligne
2024-04-08,Fes,E,T000035,C1443,M,28,Beaute,Maquillage,134.79,1,5,En ligne
2024-04-13,Tanger,C,T000036,C1202,M,26,Maison,Tapis,761.63,2,0,carte
2024-01-11,Tanger,A,T000037,C1366,F,27,Maison,Miroir,925.38,2,5,En ligne
2024-03-06,Tanger,E,T000038,C1477,F,50,Electronique,Ecouteurs,380.79,3,0,En ligne
2024-04-22,Tanger,A,T000039,C1674,M,26,Electronique,Ecouteurs,3133.02,1,15,Especes
2024-04-18,Agadir,A,T000040,C1090,M,16,Alimentation,Huile,31.77,2,0,Carte
2024-08-13,Fes,D,T000041,C1503,M,47,Vetements,T-shirt,820.24,2,,Carte
2024-06-25,Marrakech,C,T000042,C1375,F,31,Electronique,Clavier,2850.74,2,5,Carte
2024-02-02,Tanger,D,T000043,C1314,F,39,Alimentation,Cafe,74.8,1,,Especes
2024-07-06,Rabat,A,T000044,C1690,M,41,Electronique,Clavier,881.97,1,10,Carte
2024-07-20,Fes,C,T000045,C1304,M,40,Electronique,Ecouteurs,1783.99,2,15,Carte
2024-01-03,Tanger,A,T000046,C1311,M,21,Maison,Lampe,597.44,1,0,En ligne
2024-07-26,Marrakech,B,T000047,C1381,M,39,Maison,Coussin,1014.83,1,0,En ligne
2024-07-15,Tanger,B,T000048,C1139,F,,Vetements,Veste,759.88,1,5,En ligne
2024-01-02,Rabat,A,T000049,C1674,,,Electronique,Souris,3223.85,1,0,Especes
2024-10-25,Casablanca,B,T000050,C1242,F,26,Sports,Halteres,1461.96,2,5,Especes
2024-12-15,Rabat,B,T000051,C1121,M,34,Alimentation,Cereales,48.95,3,0,Especes
2024-01-02,Marrakech,D,T000052,C1543,F,50,Electronique,Souris,3470.85,1,0,Especes
2024-10-27,Tanger,B,T000053,C1213,F,30,Maison,Miroir,641.84,1,0,En ligne
2024-04-07,Rabat,D,T000054,C1298,M,25,Beaute,Creme,305.11,3,10,Carte
2024-06-21,Rabat,B,T000055,C1023,F,29,Alimentation,Pates,212.9,2,10,Especes
2024-10-31,Rabat,C,T000056,C1646,F,52,Maison,Chaise,569.87,1,0,CB
2024-01-09,Casablanca,A,T000057,C1142,F,17,Alimentation,Pates,72.54,1,10,Carte
2024-08-31,Fes,E,T000058,C1152,F,32,Sports,Halteres,916.65,1,0,En ligne
2024-05-30,Casablanca,E,T000059,C1157,F,43,Maison,Lampe,1264.96,4,10,Carte
2024-02-28,Casablanca,C,T000060,C1128,M,64,Maison,Tapis,888.49,1,0,En ligne
2024-01-13,Agadir,D,T000061,C1252,F,35,Alimentation,Cereales,189.85,2,0,Especes
2024-05-10,Casablanca,E,T000062,C1224,M,25,Sports,Velo appartement,1158.67,1,10,En ligne
2024-02-26,Rabat,C,T000063,C1654,F,41,Sports,Tapis Yoga,463.12,2,0,En ligne
2024-08-25,Rabat,D,T000064,C1034,F,29,Sports,Halteres,555.2,2,0,En ligne
2024-11-13,Marrakech,B,T000065,C1048,M,42,Sports,Tapis Yoga,1569.69,2,0,Especes
2024-06-20,Casablanca,E,T000066,C1550,F,30,Alimentation,Cereales,96.07,1,0,Especes
2024-07-16,Agadir,D,T000067,C1624,F,29,Vetements,Sweat,691.7,4,0,Especes
2024-10-22,Agadir,B,T000068,C1122,M,26,Alimentation,Huile,88.26,3,5,Carte
2024-04-03,Tanger,E,T000069,C1346,F,31,Vetements,T-shirt,431.7,1,5,En ligne
2024-10-02,Tanger,A,T000070,C1267,F,27,Alimentation,Pates,90.28,1,15,En-ligne
2024-11-07,Tanger,C,T000071,C1324,F,39,Vetements,Veste,402.12,1,0,Carte
2024-09-18,Fes,A,T000072,C1577,F,27,Maison,Coussin,370.1,1,,En ligne
2024-02-26,Rabat,B,T000073,C1544,M,32,Sports,Ballon,534.71,2,10,En ligne
2024-05-09,Tanger,C,T000074,C1563,M,24,Sports,Chaussures Running,291.81,2,10,Carte
2024-09-19,Tanger,A,T000075,C1125,M,34,Alimentation,Cafe,129.38,1,0,En-ligne
2024-12-25,Fes,A,T000076,C1533,M,33,Alimentation,Riz,58.78,1,10,En ligne
2024-12-17,Casablanca,B,T000077,C1326,F,38,Alimentation,Pates,69.57,1,10,En ligne
2024-05-12,Agadir,B,T000078,C1406,M,35,Vetements,Sweat,272.91,2,10,Carte
2024-04-17,Casablanca,B,T000079,C1196,F,31,Electronique,Clavier,2098.86,1,0,Especes
2024-07-03,Tanger,B,T000080,C1652,M,36,Beaute,Creme,470.07,1,0,Carte
2024-11-19,Marrakech,D,T000081,C1507,M,34,Maison,Lampe,1224.72,3,0,Especes
2024-02-11,Casablanca,C,T000082,C1301,F,39,Vetements,Sweat,147.68,1,0,Especes
2024-11-02,Marrakech,E,T000083,C1540,F,57,Maison,Tapis,849.2,1,10,Especes
2024-07-31,Casablanca,D,T000084,C1450,M,28,Alimentation,Huile,196.49,1,5,En ligne
2024-10-27,Casablanca,B,T000085,C1455,F,32,Alimentation,Cereales,186.92,2,0,En ligne
2024-05-10,Tanger,B,T000086,C1287,,44,Vetements,Jean,566.31,1,0,carte
2024-11-25,Marrakech,B,T000087,C1307,M,47,Vetements,Veste,164.99,2,15,Carte
2024-04-20,Rabat,A,T000088,C1275,M,36,Electronique,Casque,1198.65,1,15,En ligne
2024-12-23,Rabat,D,T000089,C1112,M,22,Electronique,Clavier,1004.66,2,0,En ligne
2024-07-07,Casablanca,D,T000090,C1374,M,46,Alimentation,Cafe,118.55,1,0,Carte
2024-10-01,Agadir,C,T000091,C1531,F,20,Vetements,Jean,376.95,2,0,En ligne
2024-03-29,Agadir,E,T000092,C1592,M,39,Electronique,Clavier,1727.65,1,0,Carte
2024-05-03,Agadir,B,T000093,C1357,F,28,Sports,Raquette,1071.14,1,5,En ligne
2024-10-04,Marrakech,D,T000094,C1598,F,47,Alimentation,The,202.89,1,0,En ligne
2024-07-12,Agadir,C,T000095,C1627,M,35,Maison,Lampe,302.59,1,0,En ligne
2024-04-11,Fes,D,T000096,C1505,F,34,Electronique,Smartphone,258.98,2,5,Carte
2024-02-09,Rabat,B,T000097,C1534,F,35,Beaute,Savon,304.79,1,15,Carte
2024-04-28,Tanger,E,T000098,C1040,F,36,Beaute,Maquillage,589.89,1,0,Carte
2024-04-07,Fes,C,T000099,C1339,M,44,Beaute,Creme,648.42,2,10,Especes
2024-07-22,Rabat,D,T000100,C1691,F,41,Maison,Lampe,559.91,2,0,Especes
2024-05-22,Casablanca,D,T000101,C1264,F,20,Beaute,Shampooing,302.82,3,5,Especes
2024-09-20,Agadir,A,T000102,C1406,F,26,Alimentation,Cafe,72.71,2,10,Especes
2024-04-28,Agadir,D,T000103,C1271,F,28,Sports,Velo appartement,1568.52,2,10,En ligne
2024-11-07,Casablanca,D,T000104,C1270,M,19,Alimentation,Cafe,93.96,1,0,Carte
2024-07-13,Agadir,E,T000105,C1673,,32,Sports,Halteres,1641.33,1,0,Especes
2024-10-17,Casablanca,A,T000106,C1462,,16,Sports,Chaussures Running,284.61,2,0,En ligne
2024-06-29,Agadir,A,T000107,C1186,F,44,Beaute,Maquillage,272.54,1,5,En ligne
2024-06-30,Marrakech,A,T000108,C1328,M,32,Maison,Table,735.91,1,15,Carte
2024-07-27,Fes,C,T000109,C1523,F,37,Electronique,Souris,2335.44,1,0,En ligne
2024-03-25,Rabat,D,T000110,C1292,M,35,Alimentation,Huile,99.85,1,5,En ligne
2024-09-05,Fes,C,T000111,C1385,M,45,Alimentation,Pates,35.73,1,5,En ligne
2024-06-24,Casablanca,D,T000112,C1184,M,18,Electronique,Clavier,2055.5,1,0,Especes
2024-09-25,Agadir,C,T000113,C1474,F,28,Sports,Tapis Yoga,384.18,2,0,Especes
2024-01-04,Agadir,C,T000114,C1171,F,27,Electronique,Casque,2006.1,2,15,Especes
2024-04-05,Marrakech,B,T000115,C1662,M,21,Alimentation,Cafe,50.22,2,10,En ligne
2024-03-23,Fes,A,T000116,C1145,F,39,Beaute,Shampooing,646.97,3,0,Carte
2024-07-19,Fes,C,T000117,C1009,F,30,Sports,Ballon,355.24,3,15,Carte
2024-12-03,Casablanca,A,T000118,C1598,F,33,Electronique,Tablette,1294.8,2,15,Especes
2024-09-05,Casablanca,D,T000119,C1219,,22,Alimentation,The,217.69,1,0,Especes
2024-08-10,Fes,D,T000120,C1358,M,26,Vetements,Jean,200.85,3,15,CB
2024-12-05,Rabat,C,T000121,C1004,F,41,Beaute,Shampooing,283.38,1,0,Carte
2024-10-31,Tanger,A,T000122,C1345,F,37,Sports,Halteres,593.99,1,10,En ligne
2024-09-01,Rabat,C,T000123,C1560,M,42,Alimentation,Cereales,44.59,1,0,En ligne
2024-11-24,Rabat,A,T000124,C1262,F,34,Vetements,Veste,260.96,1,0,En ligne
2024-01-10,Rabat,D,T000125,C1228,F,47,Maison,Coussin,725.53,1,,Carte
2024-05-24,Fes,D,T000126,C1410,M,32,Electronique,Souris,2121.05,2,0,Carte
2024-07-15,Fes,D,T000127,C1171,M,29,Alimentation,Cafe,34.55,2,0,CB
2024-10-05,Agadir,E,T000128,C1036,M,36,Beaute,Serum,120.96,3,10,En ligne
2024-10-27,Fes,A,T000129,C1147,F,45,Alimentation,Cafe,149.17,2,10,Especes
2024-10-10,Rabat,C,T000130,C1384,M,39,Beaute,Shampooing,114.06,1,0,Carte
2024-09-02,Fes,B,T000131,C1139,M,23,Alimentation,Riz,103.81,2,0,Especes
2024-09-10,Tanger,D,T000132,C1445,M,35,Beaute,Creme,77.6,1,0,En ligne
2024-11-14,Marrakech,B,T000133,C1089,M,37,Maison,Lampe,959.66,1,0,En ligne
2024-03-18,Marrakech,B,T000134,C1036,M,44,Maison,Miroir,602.25,2,0,Especes
2024-06-17,Tanger,C,T000135,C1681,F,18,Beaute,Serum,462.64,1,5,Carte
2024-06-24,Fes,A,T000136,C1488,F,,Vetements,Chaussures,731.12,2,0,Especes
2024-06-14,Fes,B,T000137,C1010,F,39,Alimentation,Pates,89.02,2,10,Especes
2024-04-21,Agadir,D,T000138,C1543,F,20,Electronique,Ecouteurs,2453.99,1,0,Especes
2024-10-04,Marrakech,B,T000139,C1047,M,29,Maison,Lampe,511.11,3,0,Carte
2024-12-09,Casablanca,D,T000140,C1653,F,31,Electronique,Smartphone,1007.7,1,5,Especes
2024-07-19,Agadir,A,T000141,C1300,F,35,Maison,Lampe,1175.46,2,5,Carte
2024-05-01,Agadir,A,T000142,C1259,F,27,Vetements,T-shirt,648.39,1,10,Carte
2024-12-13,Fes,D,T000143,C1219,M,42,Maison,Chaise,269.53,1,5,En ligne
2024-03-10,Casablanca,E,T000144,C1296,M,38,Alimentation,Huile,102.76,1,0,Carte
2024-02-01,Marrakech,B,T000145,C1256,F,26,Maison,Miroir,1088.89,1,0,Carte
2024-10-22,Agadir,D,T000146,C1453,M,37,Maison,Miroir,370.64,1,0,Carte
2024-10-31,Casablanca,D,T000147,C1671,M,,Vetements,Veste,699.7,2,5,carte
2024-10-18,Rabat,A,T000148,C1288,F,35,Sports,Ballon,285.75,2,0,Carte
2024-12-25,Casablanca,A,T000149,C1230,M,16,Vetements,Sweat,601.52,1,0,CB
